Αἰάκης	Æakès, (h.)
Τάρφη	Tarphè, (v.)
Τάφιοι	les habitants de Taphos
Τέαρος	Téaros
Τέασπις	Téaspis
Τέκμησσα	Tekmessa
Τέλλις	Tellis, (h.)
Τέλλος	Tellos
Τένεδος	Ténédos (auj. Bozcaada)
Τένης	Ténès ou Tennès
Τέννης	Ténès ou Tennès
Τέρμιλαι	les Termiles
Τέρπανδρος	Terpandros
Τήλεκλος	Tèléklos
Τήλεμος	Tèlémos
Τήλεφος	Tèléphos
Τήμενος	Tèménos
Τήνιος	de Tènos
Τήρης	Tèrès
Τήριλλος	Tèrillos
Τίβισις	Tibisis (auj. Timiș)
Τίγρης	le Tigre, (fl.)
Τίθαιος	Tithæos
Τίμαιος	Timæos
Τίμανδρα	Timandra, (f.)
Τίμανδρος	Timandros, (h.)
Τίμαρχος	Timarkhos (Timarque) (h.)
Τίμων	Timôn
Τίρυνς	Tirynthe
Τίσανδρος	Tisandros (h.)
Τίτθιον	dim. de τιτθός (bout de sein)
Τίτορμος	Titormos
Τίτος	Titus
Τίτῦρος	singe ou oiseau rare ?) ; mouton avec une sonnette au cou qui conduit le troupeau
Τίφυς	Tiphys
Ταίναρον	Tænaron, Ténare (auj. Ténare ou Matapan)
Ταινάριος	de Ténare
Ταλαιμένης	Talæménès
Ταλαϊονίδης	le fils de Talaos
Ταλαός	Talaos
Ταλθύβιος	Talthybios
Ταναγραῖος	habitant ou originaire de Tanagra
Ταναγρικός	de Tanagra
Ταντάλειος	de Tantale
Ταξίλης	Taxilès
Ταράντινος	de Tarente, Tarentin
Ταραντινίδιον	vêtement d'un fin tissu
Ταραντῖνος	de Tarente, Tarentin
Ταργίταος	Targitaos
Ταρκυίνιος	Tarquinius, (h. rom.)
Ταρπήιος	la roche Tarpéienne
Ταρτήσσιοι	les habitants de Tartèssos ou Tartèsos (v.)
Ταρτήσσιος	de Tartèssos
Ταρτησσός	Tartèssos
Ταυρομένιον	Tauroménium (auj. Taormina) (v.)
Ταυροσθένης	Taurosthénès, (h.)
Ταυρόπολος	honorée par des sacrifices de taureaux, honorée en Tauride ; de mœurs dissolues
Ταυχείρα	Taukheires (auj. Tocra) (v.)
Ταχομψώ	Takhompsô, (île)
Ταϋγέτη	Taygétè, (fille d’Atlas et de Pléionè)
Ταύρεος	le dieu du taureau
Τείχιον	Teikhion
Τεγεάτης	habitant de Tégée
Τεγεατικός	de Tégée
Τεγεᾶτις	de Tégée
Τεθρώνιον	Téthrônion
Τεκτονίδης	le fils de Tektôn (Polynéos)
Τελένικος	Télénikos, (h.)
Τελέσαρχος	Télésarkos, (h.)
Τελέσιλλα	Télésilla (f.)
Τελέσιππα	Télésippa, (f.)
Τελέστης	Télestès, (h.)
Τελέων	Téléôn, (h.)
Τελαμωνιάδης	fils de Télamon (Ajax)
Τελεσίας	Télésias, (h.)
Τελεσφόρος	qui mène à terme ; qui s'accomplit, qui se réalise
Τελευτίας	Téleutias, (h.)
Τελευταγόρης	Téleutagoras, (h.)
Τελφούσα	Telphousa
Τελχίν	les Telkhines ; envieux
Τεμέση	Témésè, (v.)
Τεμπίς	fém. de Τεμπικός (de Tempè)
Τενέδιος	de Ténédos
Τενής	Ténès ou Tennès
Τενθρήδων	Tenthrèdôn
Τερέντιος	Terentius
Τερπιάδης	le fils de Terpès ou Terpios (Phémios)
Τερψίων	Terpsiôn, (h.)
Τετράμνηστος	Tétramnèstos, (h.)
Τευθρανίδης	le fils de Teuthras (Axylos)
Τευκρίς	de Teukros ; Troie
Τευτίαπλος	Teutiaplos, (h.)
Τευταμίδης	fils de Teutamos
Τεύθρας	Teuthras
Τεύταμος	Teutamos, (h.)
Τεύταρος	Teutaros, (h.)
Τεῦθις	calmar ou seiche ; sorte de pâtisserie
Τεῦκρος	Teukros (Teucer)
Τηθύς	Tèthys ; la mer, la terre
Τηλίνης	Tèlinès, (h.)
Τηλεκλείδης	Tèlékleidès, (Téléclide)
Τηλεφάνης	Téléphanès, (h.)
Τηλεφίδης	le fils de Tèléphos (Eurypylos)
Τημενίδαι	les descendants de Tèménos
Τηρεύς	Tèrée
Τιάραντος	Tiarantos (auj. Olt Tisza)
Τιβέριος	Tiberius, Tibère
Τιγράνης	Tigranès
Τιθραύστης	Tithraustès
Τιθωνός	Tithônos ; un Tithônos, un vieillard très âgé
Τιλφοῦσσα	Tilphoussa
Τιμάνθης	Timanthès, (h.)
Τιμάνωρ	Timanor, (h.)
Τιμήσιος	Timèsios
Τιμαία	Timæa
Τιμαγένης	Timagénès
Τιμαρέτη	Timarétè, (f.)
Τιμασίων	Timasiôn, (h.)
Τιμηγενίδης	fils ou descendant de Timagénès
Τιμησίας	Timèsias, (h.)
Τιμησίθεος	Timèsithêos, (h.)
Τιμοκρέων	Timokréon
Τιμολέων	Timoléon
Τιμοσθένης	Timosthénès, (h.)
Τιμοφάνης	Timophanès, (h.)
Τιμωνίδης	Timonidès, (h.)
Τιμόδημος	Timodèmos, (h.)
Τιμόθεος	Timothéos (Timothée)
Τιμόκλεια	Timokleia, (f.)
Τιμόκριτος	Timokritos, (h.)
Τιμόλαος	Timolaos, (h.)
Τιμόμαχος	Timomakhos
Τιμόξεινος	Timoxénos, (h.)
Τιμόξενος	Timoxénos, (h.)
Τιμόστρατος	Timostratos, (h.)
Τιμόχαρις	Timokharis, (h.)
Τιμώ	Timô, (f.)
Τιμώναξ	Timônax, (h.)
Τιρίβαζος	Tiribazos
Τιρύνθιος	de Tirynthe
Τισίφονος	Tisiphonos
Τισαμενός	Tisaménos, (h.)
Τισσαφέρνης	Tissaphernès
Τιτάνιος	Titianus, (h. rom.)
Τιτίας	Titias ou Titiès
Τιτίνιος	Titinius
Τιτακός	Titakos, (h.)
Τιτανίς	de Titan, Titan ; Titanide, sœur ou fille des Titans
Τιτανώδης	semblable à un Titan
Τιταρήσιος	Titarèsios (auj. Titarísios, Xeriás) (fl.) ; de Titaros
Τιτυός	Tityos
Τληπόλεμος	Tlèpolémos
Τλησιμένης	Tlèsimenès, (h.)
Τμώλιος	du Tmôlos
Τολμίδης	Tolmidès, général athénien
Τορωναῖος	de Torônè
Τορύλαος	Torylaos, (h.)
Τορώνη	Torônè (auj. Toróni) (v.)
Τοῦρνος	Turnus, (h. latin)
Τοῦσκλον	Tusculum (auj. ruines près de Frascati) (v.)
Τρίκκαιος	habitant ou originaire de Trikkè
Τρίκκη	Trikkè (auj. Tríkala)
Τρίοψ	Triopas
Τρίταια	Tritæa, (v.)
Τρίταιος	du troisième jour ; troisième
Τρίτεαι	Tritées, (v.)
Τραπεζούντιος	habitant ou originaire de Trapézonte
Τραχίνιος	de Trakhis
Τριβαλλικός	des Triballes
Τρινάκριος	de Trinacrie
Τρινακρίς	de Trinacrie
Τριτανταίχμης	Tritantækhmès
Τριτώ	Tritô
Τριόπιον	Triopion (auj. Datça, Reşadiye) (v.)
Τροίαθεν	en venant de Troie
Τροίανδε	à Troie
Τροίζην	Trœzène (auj. Trizína, Đamalá) (v.)
Τροίζηνος	Trœzènos, (h.)
Τροιζήν	Trœzène (auj. Trizína, Đamalá) (v.)
Τροιζήνιος	de Trœzène
Τροιζηνίς	de Trœzène
Τρυγαῖος	Trygæos, vendangeur
Τρυφιόδωρος	Tryphiodôros (Tryphiodore)
Τρωΐλος	Trôïlos
Τρωιός	de Troie, troyen
Τρύφων	Tryphôn
Τρώϊλος	Trôïlos
Τρῆχος	Trèkhos, (h.)
Τρῳάς	???? Renvoi sans Issue ????
Τυδεΐδης	le fils de Tydée (Diomède)
Τυνδάρειος	de Tyndarée
Τυνδαρίς	la fille de Tyndaréos
Τυραννίων	Tyranniôn
Τυρρηνίς	de Tyrrhénie, tyrrhénien
Τυρσηνίς	???? Renvoi sans Issue ????
Τυρσηνικός	de Tyrrhénie, tyrrhénien
Τυρταῖος	Tyrtæos (Tyrtée)
Τυρόδιζα	Tyrodiza (auj. Şarköy) (v.)
Τυρώ	Tyrô
Τυφαονίς	de Typhôn
Τυχίος	Tykhios
Τόλμαιος	Tolmæos (Hardi) (h.)
Τόλοφος	Tolophos, Etolien
Τόμυρις	Tomyris
Τόξευς	Toxée
Τύλλιος	Tullius, (h. rom.)
Τύμνης	Tymnès, (h.)
Τύρης	Tyras ou Tyrès, (fl.) (Dniestr)
Τύρος	Tyr (auj. Ṣūr) (v.)
Τύχων	Tykhôn
Τῆλυς	Tèlys
Τῆμνος	Tèmnos (auj. Menemen) (v.)
Φάβιος	Fabius, (h. rom.)
Φάγρης	Phagrès
Φάεννος	Phaennos, (h.)
Φάλαικος	Phalækos
Φάλαρις	Phalaris
Φάληρος	Phalèros
Φάνη	torche, flambeau
Φάνης	Phanès
Φάραξ	Pharax, (h.)
Φάρσαλος	Pharsale (auj. Fársala, Çatalca) (v.)
Φάσηλις	Phasèlis (auj. ruines près de Tekirova) (v.)
Φάσσος	masc. de φάττα
Φάων	Phaôn (h.)
Φάϋλλος	Phayllos
Φένεος	Phénéos (auj. ruines près d'Archéa Feneós)
Φέρεκλος	Phéréklos, (h.)
Φέρης	Phérès
Φέρουσα	Phérousa
Φήμιος	Phèmios
Φίκιον	le mt Phikion
Φίλα	Phila, (f.)
Φίλαιος	Philæos, (h.)
Φίλιννα	Philinna, (f.)
Φίλιστος	Philistos, (h.)
Φίλλις	Phillis, (h.)
Φίλων	Philôn (Philon)
Φαέθουσα	Phaéthousa, « la brillante »
Φαίδων	Phædôn (Phédon)
Φαίνιππος	Phænippos, (h.)
Φαίνοψ	Phænops, (h.)
Φαίνων	faire briller ; faire paraître, faire voir, rendre visible ; faire connaître, indiquer ; faire paraître une garnison, la faire avancer, la faire sortir, envoyer une expédition
Φαβωρῖνος	Favorinus, (h. rom.)
Φαιδίμη	Phædimè, (f.)
Φαιδύμη	Phædymè
Φαιναρέτη	Phænarétè
Φαινιππίδης	Phænippidès, (h.)
Φαινώ	Phænô, « la brillante »
Φαιστός	Phæstos, (v.)
Φαλής	Phalès, (personnification du φάλης = phallus)
Φαλίος	Phalios, (h.)
Φαληρεύς	habitant de Phalère
Φαληρικός	de Phalère
Φαληροῖ	à Phalère
Φαληρόθεν	de Phalère
Φαληρόν	Phalère
Φαληρόνδε	à Phalère
Φαλλήν	Phallène, « le dieu du phallus »
Φαλῖνος	Phalinos, (h.)
Φαναγόρης	Phanagoras, (h.)
Φανοκλῆς	Phanoklès
Φανοσθένης	Phanosthénès, (h.)
Φανοτεύς	Phanotée, (v.) ; de Phanotée
Φανόδημος	Phanodèmos, (h.)
Φανόμαχος	Phanomakhos, (h.)
Φανόστρατος	Phanostratos, (h.)
Φαρίς	Phâris, (v.)
Φαρανδάτης	Pharandatès
Φαρισαῖος	pharisien
Φαρμάκεια	Pharmakeia
Φαρνάβαζος	Pharnabaze
Φαρνάκης	Pharnakès (Pharnace)
Φαρνάσπης	Pharnaspès
Φαρναζάθρης	Pharnazathrès
Φαρνούχης	Pharnoukhès
Φαρνοῦχος	Pharnoukhès
Φαρσάλιος	de Pharsale
Φαυσιάδης	le fils de Phausios (Apisaon)
Φαῖδρος	Phædros (Phèdre) (h.)
Φαῖστος	Phæstos
Φείδας	Pheidas
Φείδιππος	Pheidippos, (h.)
Φεαί	Phées
Φειά	Pheia, (v.)
Φειδιππίδης	Pheidippidès, (h.)
Φενεάτης	habitant ou originaire de Phénéos
Φενεός	Phénéos (auj. ruines près d'Archéa Feneós)
Φερέδειπνος	qui donne (qui porte) à souper
Φεραί	Phères
Φεραύλας	Phéraulas
Φεραῖος	de Phères
Φερεκράτης	Phérékratès (Phérécrate)
Φερεκύδης	Phérékydès (Phérécyde)
Φερενίκη	Phérénikè, (f.)
Φερενδάτης	Pherendatès
Φερετίμη	Phérétimè
Φερητιάδης	le fils de Phérès
Φερσέφασσα	???? Renvoi sans Issue ????
Φηγεύς	Phègée
Φημονόη	Phèmonoè
Φηρή	Phèrè (auj. Kalamáta) (v.)
Φηραί	Phèrè (auj. Kalamáta) (v.)
Φηρητιάδης	le fils de Phérès
Φθίηνδε	à Phthia
Φθίηφι	Phthia (v. ou f.)
Φθίος	de Phthia
Φθιώτης	de Phthiotide
Φθιῶτις	???? Renvoi sans Issue ????
Φθῖος	de Phthia
Φιγαλεύς	habitant de Phigaleia
Φιλάγριος	Philagrios, (h.)
Φιλάμμων	Philammôn
Φιλάων	Philaôn, (h.)
Φιλέας	Philéas, (h.)
Φιλήσιος	Philèsios
Φιλίσκος	Philiskos, (h.)
Φιλίστη	Philistè, (f.)
Φιλαινέτη	Philænétè, (f.)
Φιλαινίς	Philænis, (f.)
Φιλητορίδης	fils de Philètor
Φιλητᾶς	Philètas
Φιλιππίδης	Philippidès, (h.)
Φιλιππεῖος	de Philippe
Φιλιστίων	Philistion, (h.)
Φιλοίτιος	Philœtios
Φιλοδώρητος	Philodôrètos, (h.)
Φιλοκλέων	Philokléôn, (h.)
Φιλοκράτης	Philokratès, (h.)
Φιλοκτήμων	Philoktèmon, (h.)
Φιλοκτήτης	Philoktètès (Philoctète)
Φιλομήλη	Philomèla
Φιλομείδης	qui aime à sourire, aimable, gai
Φιλομηλεΐδης	Philomèleidès, (h.)
Φιλοποίμην	Philopœmen
Φιλοχάρης	Philokharès, (h.)
Φιλοχαρίδας	Philokharidas
Φιλωνίδης	Philônidès, (h.)
Φιλόκυπρος	Philokypros
Φιλόμειραξ	qui aime les garçons
Φιλόνομος	Philonomos
Φιλόστρατος	Philostratos (Philostrate)
Φιλύλλιος	Philyllios
Φιλύρη	Philyra, (f.)
Φιλῖνος	Philinos, (h.)
Φινεύς	Phinée
Φλά	Phla, (île)
Φλέγρη	Phlégra ou Phlègres
Φλέγυας	Phlégyas
Φλέγων	Phlégôn
Φλεγραῖος	Phlégræos
Φλιάσιος	de Phliunte
Φλιοῦς	Phliunte, (v.)
Φοιβηίς	de Phœbus
Φοινικήϊος	de Phénicie, phénicien
Φοινικόστολος	de l'armée des Phéniciens
Φολόη	Pholoè (auj. plateau de Folói)
Φορμίσιος	Phormisios, (h.)
Φορμίων	Phormion, (h.)
Φούριος	Furius (h. rom.)
Φράδμων	Phradmôn, (h.)
Φράσιος	Phrasios, (h.)
Φρίξος	Phrixos
Φρασικλείδης	Phrasikleidès, (h.)
Φραταγούνη	Phratagounè, le fils d'Hystaspe
Φραόρτης	Phraortès
Φρεάρριος	du dème Phréarrhes
Φρεαττύς	Phréattys, (lieu sur la côte du Pirée)
Φρονίμη	Phronimè, (f.)
Φρόνιος	Phronios, (h.)
Φρόντις	soin, souci, préoccupation ; manière de penser, sentiment ; sujet de méditation ; pensée, réflexion, méditation
Φρόντων	Fronto (h. rom.)
Φρύνιχος	Phrynikhos
Φρύνων	Phrynôn, (h.)
Φυλάκη	Phylakè, « la Garde », (v.)
Φυλακίδης	Phylakidès, (h.) ; le fils de Phylakos (Iphiklos)
Φυλεΐδης	le fils de Phylée (Mégès) ; Phyleidès, (h.)
Φυλεύς	Phylée
Φυλομάχη	Phylomakhè, (f.)
Φυλομέδουσα	Phylomédousa, (f.)
Φυλώ	Phylô, (esclave d’Hélène)
Φυρόμαχος	Phyromakos, (h.)
Φωκαιεύς	habitant de Phocée
Φωκικός	de Phocide ; phocidien, phocéen
Φωκυλίδης	Phokylidès (Phocylide)
Φωσφόρος	qui apporte ou qui donne la lumière
Φόλος	Pholos
Φόρβας	Phorbas
Φόρκος	&gt; Φόρκυς ; &gt; Ἔρεϐος
Φόρκυς	Phorkys
Φόρμις	petite corbeille
Φόρμος	Phormos, (h.)
Φύη	Phyè, (f.)
Φύλακος	Phylakos, (h.)
Φύλας	Phylante, (h.)
Φύσιος	« le naturel »
Φύσκα	Physka, (v.)
Φύταλος	Phytalos
Φώκιος	de Phocide, phocéen
Φώτιος	Photius
Φᾶιστος	Phæstos, (v.)
Φᾶνος	Phanos, (h.)
Φᾶρις	Phâris, (v.)
Φῶκος	Phôkos, (h.)
Χάβης	Khabès
Χάλκων	Khalkôn, (h.)
Χάλυβος	acier
Χάραξος	Kharaxos
Χάρης	Kharès
Χάριλλος	Kharillos, (h.)
Χάριππος	Kharippos, (h.)
Χάρμις	Kharmis, (h.)
Χάρμος	Kharmos, (h.)
Χάρμων	« celui qui réjouit »
Χάροπος	Kharopos, (h.)
Χέμμις	Khemmis
Χέοψ	Khéops (Chun)
Χέρασμις	Khérasmis
Χέρσις	Khersis
Χήνιον	petite oie, oison
Χίλων	Khilôn (Chilon)
Χίονις	Khionis, (h.)
Χίων	Khiôn
Χαίρις	Khæris
Χαίρων	Khærôn, (h.)
Χαιρέδημος	Khærédèmos (Chærédème) (h.)
Χαιρήμων	Khærèmôn (Chærémon)
Χαιρεκράτης	Khærékratès, (h.)
Χαιρεφῶν	Khæréphôn, (h.)
Χαιρητάδης	Khærètadès
Χαιρωνεία	Khærôneia (Chéronée, Cherónia)
Χαλέστρη	Khalastra (auj. Khalástra, Kouloukiá) (v.)
Χαλδαικός	de Chaldée ou des Chaldéens
Χαλδαιστί	en langue chaldéenne
Χαλκιόπη	Khalkiopè, (f.)
Χαλκωδοντιάδης	le fils de Khalkôdôn (Elphénor)
Χαλυβικός	des Khalybes
Χαράδρη	lieu de Phocide
Χαρίδημος	Khnaridèmos, « la Joie du peuple »
Χαρίλαος	Kharilaos, (h.)
Χαρίξενος	Kharixénos, (h.)
Χαρικλής	Khariklès
Χαρικλείδης	Kharikleidès
Χαρικλώ	Khariklô
Χαρινάδης	Kharinadès, (h.)
Χαρισιός	qu'on donne en signe de reconnaissance
Χαριτιμίδης	Kharitimidès, (h.)
Χαρμίδης	Kharmidès (Charmide), (h.)
Χαρμαντίδης	Kharmantidès, (h.)
Χαρμῖνος	Kharminos, (h.)
Χαροιάδης	Kharœadès, (h.)
Χείμαρρος	???? Renvoi sans Issue ????
Χείμων	mauvais temps
Χειμέριον	Kheimérion
Χειρίσοφος	Kheirisophos
Χελιδονίς	hirondelle
Χερρόνησος	presqu'île, péninsule
Χερσιδάμας	Khersidamas, qui dompte de ses mains, (h.)
Χεφρήν	Khéphrèn ou Chéphrem
Χθονίος	qui est sous terre
Χθόνια	la déesse des Enfers, Dèmèter
Χιομάρα	Khiomara
Χιτώνη	la déesse à la tunique courte, Artémis chasseresse, vêtue de la tunique dorienne
Χιωνίδης	Khiônidès, (h.)
Χιόνη	Khionè
Χιόνις	Khionis, (h.)
Χλῶρις	Khlôris (Chloris)
Χοάσπης	Khoaspès, (fl.)
Χοίρεαι	Khœrées (auj. Alivéri)
Χοίριλος	Khœrilos
Χοίριος	de cochon, de porc
Χοιρίλος	Khœrilos
Χρέμης	Khrémès
Χρέμων	Khrémôn
Χρήμων	Khrèmôn, (h.)
Χρεμύλος	Khrémylos, « qui tousse et crache »
Χριστοφόρος	qui a produit ou vu naître le Christ ; qui honore le Christ
Χριστόδωρος	Khristodôros (Christodore)
Χρομίος	Khromios
Χρυσάντας	Khrysantas
Χρυσάωρ	Khrysaor
Χρυσίππος	Khrysippos (Chrysippe)
Χρυσηίς	Khrysèïs
Χρυσόθεμις	Khrysothémis
Χρόμιος	Khromios
Χρόμων	Kromôn
Χρύσερμος	Khrysermos
Χρύση	Khrysè
Χρύσης	Khrysès
Χρύσιλλα	Khrysilla, (f.)
Χρύσιππος	Khrysippos (Chrysippe)
Χρύσις	Chrysis (Chrysis)
Χρῆστος	dont on peut se servir ; qui rend service ; dont on se sert, usuel
Χῆρα	dépouillé, vide, (maison, étable, etc.) ; privé d'un parent
Ψάμμις	Psammis
Ψίλαξ	« l'imberbe »
Ψαμάθη	Psamathè
Ψαμμήνιτος	Psammènit
Ψαμμήτιχος	Psammètikhos
Ψυρίη	l'île de Psyra (auj. Psará), (île)
Ψυτταλεία	Psyttaleia
Ψωφίδιος	de Psôphis, (v.)
άδος	satiété, dégoût
ίδος	sueur ; chaleur qui provoque la sueur, temps chaud
ατος	insatiable de, (de guerre, etc.)
αἰέλουρος	chat, chatte
αἰαῖ	ah ! hélas !
αἰγίθαλος	mésange, oiseau
αἰγίνη	chèvrefeuille
αἰγίνομος	brouté par les chèvres
αἰγιάς	taie sur l'œil
αἰγιαλίτης	qui se trouve ou réside au bord de la mer
αἰγιαλῖτις	fém. d'αἰγιαλίτης
αἰγιβότης	qui nourrit des chèvres
αἰγιβότος	brouté par les chèvres
αἰγικόν	chiendent
αἰγιλώπιον	fistule lacrymale
αἰγλοβολέω	lancer des rayons
αἰγοβάτης	qui saillit les chèvres
αἰγονόμος	où l'on mène paître les chèvres
αἰγοπόδης	???? Renvoi sans Issue ????
αἰγυπτία	l'histoire d'Égypte
αἰγόκερως	aux cornes de chèvre
