@Αἰάντειος	d'Ajax,	of Ajax
εἰκοσιεννέα	vingt-neuf,	nine and twenty
εἰκοσιεπτά	vingt-sept,	seven and twenty
εἰκοσινήριτος	vingt fois innombrable, très grand,	twentyfold
εἰκοσιοκτώ	vingt-huit,	twenty-eight
εἰκοσιπέντε	vingt-cinq,	twenty-five
εἰκοσιτέσσαρες	vingt-quatre,	twenty-four
εἰκοσταῖος	qui se fait ou arrive le vingtième jour,	on the twentieth day
εἰκοστολόγος	qui perçoit le vingtième,	one who collects the twentieth, tax
εἰκοστοτέταρτος	vingt-quatrième, 	twenty-fourth
εἰκοστόγδοον	la vingt-huitième partie,	one twenty-eighth
εἰκοστόπεμπτος	vingt-cinquième,	twenty-fifth
εἰκοστόπρωτος	vingt-unième,	twentyfirst
εἰκοστός	vingtième, 	twentieth
εἰκοστώνης	fermier de l'impôt du vingtième,	farmer of the vicesima
εἰκοτολογέω	parler selon la vraisemblance,	infer from probabilities
εἰκοτολογία	langage ou explication vraisemblable,	probability or inference therefrom
εἰκτικός	qui cède facilement,	readily yielding
εἰκόνισμα	représentation, image, portrait,	image
εἰκός	see <lang="grc">εἰκώς</grc>	like truth
εἰκόσορος	à vingt rameurs,	with twenty oars
εἰκῇ	par hasard, au hasard, à l'aventure,	without plan or purpose, at random, at a venture
εἰλήθυια	@	comet
εἰλαπίνη	festin bruyant (festin après un sacrifice)	solemn feast or banquet
εἰλαπινάζω	banqueter, célébrer un festin,	revel in a large company
εἰλαπιναστής	convive d'un festin	feaster, guest, boon-companion
εἰλαπινουργός	qui prépare ou qui donne un festin,	maker of feasts
εἰλείθυια	@	she that comes
εἰλετίας	sorte de roseau,	reed, Ammophila arundinacea
εἰληδόν	en se ramassant sur soi-même,	by twisting or coiling round
εἰλητός	roulé ou qu'on peut rouler,	wound
εἰλικρίνεια	pureté, limpidité,	unmixedness, purity
εἰλικρινής	non mélangé,	unmixed, without alloy, pure
εἰλυθμός	tanière, repaire d'animaux,	lurking-place, den
εἰν	see <lang="grc">ἐν</grc>	in
εἰνάνυχες	pendant neuf nuits,	nine nights long
εἰνάτερες	femmes de frères ou de beaux-frères, belles-sœurs,	wives of brothers or of husbands' brothers, sisters-in-law
εἰναετής	de neuf années, 	of nine years, nine years old
εἰναλίφοιτος	qui se plonge dans la mer,	roaming the sea
εἰναφώσσων	à neuf voiles,	with nine sails
εἰνοσίφυλλος	qui agite son feuillage,	with quivering foliage
εἰρήνευσις	pacification,	reconciliation
εἰρήνη	@	peace
εἰρηναῖος	pacifique, 	peaceful
εἰρηνοποιέω	pacifier, concilier,	to make peace
εἰρηνοφυλακέω	veiller à la conservation de la paix,	to be a guardian of peace
εἰρηνοφύλαξ	qui veille au maintien de la paix,	guardian of peace
εἰροκόμος	qui sert à travailler ou qui travaille la laine,	working in wool
εἰροπόκος	dont la laine peut être peignée, à l'épaisse toison,	wool-fleeced, woolly
εἰροχαρής	qui aime la laine,	delighting in wool
εἰρωνικός	qui fait l'ignorant, 	dissembling
εἰρώνευμα	parole ironique,	ironies
εἰς	dedans, dans,	into
εἰσάγγελσις	annonce,	announcing
εἰσάγω	conduire dans, amener dans, introduire ; faire paraître sur la scène ;	lead in or into
εἰσάλλομαι	sauter dans ou sur :	spring or rush into
εἰσάνειμι	monter dans, s'élever dans,	go up into
εἰσάφασμα	attouchement,	touch, grasp
εἰσέλασις	action de lancer un char dans, irruption,	charge
εἰσέπειτα	ensuite, désormais.	for hereafter
εἰσέργνυμι	enfermer dans,	shut up in
εἰσέρρω	se glisser dans,	go into, get in
εἰσέτι	encore, par la suite,	still, yet
εἰσήγημα	motion, proposition,	motion, proposal
εἰσίζομαι	s'asseoir, se poster (en embuscade)	take one's station in
εἰσαίρω	enlever pour apporter (une table)	bring or carry in
εἰσαγγελεύς	celui qui introduit en annonçant, introducteur à la cour du roi de Perse,	one who announces, usher
εἰσαγγελτικός	qui concerne les poursuites par	of or for an impeachment
εἰσαγωγός	see <lang="grc">εἰσαγωγικός</grc>	watching over imports
εἰσαθρέω	regarder, apercevoir, voir,	look at, descry
εἰσακοή	audition,	listening, hearkening
εἰσαλείφω	enduire à l'intérieur,	smear or rub in
εἰσαναγκάζω	contraindre :	force
εἰσαναλίσκω	dépenser :	expend upon
εἰσανδρόω	remplir ou peupler d'hommes,	fill with men
εἰσανεῖδον	lever les yeux vers,	look up to
εἰσανορούω	s'élancer vers ou dans,	rush up to
εἰσαντλέω	verser dans,	pour in
εἰσαποστέλλω	envoyer vers :	send in or to
εἰσαράσσω	pousser ou refouler dans :	dash or force into
εἰσαρπάζω	ravir, arracher,	seize and carry in
εἰσαρτίζω	ajuster ou adapter dans,	join or fit into
εἰσαρύομαι	puiser dans,	drain, exhaust
εἰσαυγάζω	jeter les yeux sur,	look at, view
εἰσαφάσσω	introduire en tâtant :	feel in
εἰσαφίημι	laisser aller dans, introduire dans : introduire qqn dans (une ville, un lieu clos, etc.)	admit
εἰσαφύσσω	puiser dans,	draw into
εἰσγραφή	inscription,	enrolment
εἰσδέρκομαι	avoir les yeux fixés sur, regarder vers,	look at or upon
εἰσδίδωμι	se jeter dans,	flow into
εἰσδανείζω	prêter à intérêts,	lend at interest as well
εἰσδεκτός	acceptable, agréable à,	acceptable
εἰσδοχή	admission,	reception
εἰσδρομή	incursion,	inroad, onslaught
εἰσδύνω	se glisser dans, pénétrer dans,	get or crawl into
εἰσεάω	laisser entrer ou faire entrer,	let in
εἰσεγγίζω	s'approcher de,	approach
εἰσελαύνω	pousser dans ou vers :	drive in
εἰσεπιδημέω	s'établir comme étranger qqe part,	visit a foreign state
εἰσερύω	tirer dans,	draw into
εἰσευπορέω	fournir en abondance :	procure in plenty
εἰσηθέω	injecter au moyen d'une seringue,	inject by a syringe
εἰσθρῴσκω	s'élancer dans ou sur,	leap into or in
εἰσιδρύω	bâtir dans,	build in
εἰσικνέομαι	aller ou venir dans,	go into
εἰσιππεύω	entrer ou s'avancer à cheval,	ride into or in
εἰσιτήριος	qui concerne l'entrée ou l'abord : sacrifice qu'offraient les magistrats avant d'entrer en charge, 	belonging to entrance
εἰσιτητός	accessible,	accessible
εἰσκέλλω	pousser (un navire) vers, aborder,	put to land
εἰσκαθοράω	jeter les yeux sur,	look down upon
εἰσκαλέω	appeler à soi ou près de soi,	call in
εἰσκλάω	briser dans, se briser dans ; se replier dans,	grow in
εἰσκομίζω	introduire,	carry in
εἰσκομιδή	importation, introduction,	importation
εἰσκρίνω	admettre ; être admis parmi, s'introduire dans,	enrol, admit
εἰσκρούω	enfoncer en frappant,	knock in
εἰσκτάομαι	acquérir,	acquire
εἰσκωμάζω	entrer ou se précipiter comme un homme ivre,	burst in like a party of revellers
εἰσκύπτω	se baisser pour regarder dans,	pop in
εἰσλάμπω	briller dans, luire sur,	shine in
εἰσλεύσσω	regarder,	look upon
εἰσμαίομαι	atteindre profondément, causer une grande peine à,	touch to the quick, affect greatly
εἰσνέω	traverser à la nage,	swim into
εἰσνήχομαι	see <lang="grc">εἰσνέω</grc>	swim into
εἰσνοέω	apercevoir, voir, reconnaître,	perceive, remark
εἰσοίκησις	installation, habitation,	place for dwelling in, home
εἰσοδιάζω	percevoir un revenu ; être perçu comme revenu,	collect
εἰσοιδαίνω	faire enfler,	cause to swell
εἰσοικέω	aller habiter dans,	settle in
εἰσοικίζω	établir dans une habitation, installer :	bring in as a dweller or settler
εἰσοικειόω	admettre dans sa familiarité,	bring in as a friend
εἰσοικισμός	action d'aller s'établir (qqe part)	bringing in as settler
εἰσοικοδομέω	bâtir à l'intérieur,	build into
εἰσοιχνέω	entrer dans,	go into, enter
εἰσομόργνυμι	imprimer dans,	impress upon
εἰσοπίσω	see <lang="grc">εἰσόπιν</grc>	in time to come, hereafter
εἰσοπτρίζω	réfléchir une image,	reflect like a glass
εἰσοπτρικός	vu dans un miroir,	seen in a mirror
εἰσοπτρισμός	réflexion dans un miroir,	reflection as in a mirror
εἰσοπτροειδής	semblable au réfléchissement dans un miroir,	like a mirror or reflection
εἰσοράω	avoir les yeux dirigés vers ou sur,	look into, look upon, behold
εἰσοχή	éloignement d'un objet en peinture,	hollow, recess
εἰσοχετεύω	faire couler par un conduit dans,	conduct into
εἰσπέτομαι	s'introduire en volant dans,	fly into, fly in
εἰσπαίω	se précipiter dans ou sur,	burst or rush in
εἰσπαραδύομαι	se glisser dans,	slide gently into
εἰσπεράω	passer la mer pour aller dans,	pass over into
εἰσπληρόω	remplir de,	fill full
εἰσπνήλας	amoureux (soupirant)	lover
εἰσπνοή	aspiration,	inspiration, inhalation
εἰσποίησις	adoption (d'un enfant)	adoption
εἰσποιητός	adopté, adoptif (enfant)	adopted
εἰσπορεύω	introduire,	lead in
εἰσπράκτης	percepteur,	exactor, taskmaster
εἰσπράσσω	forcer à payer, exiger :	get in or exact
εἰσπτύω	cracher sur,	spit upon
εἰσρέω	couler dans,	stream in or into
εἰσροή	see <lang="grc">εἴσροος</grc>	influx
εἰστελέω	ranger dans :	contribute
εἰστιτρώσκω	percer,	perforate, pierce
εἰστοξεύω	lancer des flèches dans ou sur,	shoot arrows at
εἰστρέπομαι	se tourner en dedans,	turn in
εἰστρυπάω	s'introduire clandestinement (faire un trou pour pénétrer dans),	slip in through a hole
εἰσφέρω	porter dans, apporter, amener :	carry in
εἰσφαίνω	mettre au jour, dénoncer,	inform
εἰσφθείρομαι	s'introduire pour la ruine dans,	make entry to one's undoing
εἰσφλάω	enfoncer,	crush in
εἰσφύρω	mêler en pétrissant,	to mix in
εἰσχέω	verser dans,	pour in or into
εἰσχειρίζω	mettre dans les mains :	put into one's hands, entrust
εἰσχωρέω	pénétrer dans,	penetrate
εἰσωθέω	pousser dans,	thrust into
εἰσωπή	aspect,	aspect
εἰσόδιος	qui concerne l'entrée : 	going or coming in
εἰσόπιν	par la suite (en vue) :	back
εἰσότε	jusqu'à ce que,	against the time when
εἰωθότως	selon la coutume,	in customary wise
εἱαμενή	prairie humide, fond de vallée herbeuse,	a river-side pasture, meadow
εἱληθερέω	se chauffer au soleil,	bask in the sun
εἱληθερής	chauffé au soleil,	warmed by the sun: warm
εἱλικόεις	see <lang="grc">ἑλικόεις</grc>	with crooked horns
εἱλικόμορφος	de forme enroulée,	of twisted or spiral form
εἱλωτεύω	être hilote, servir comme hilote,	to be a Helot or serf
εἱλωτικός	qui concerne les hilotes, des hilotes, 	of Helots
εἱμαρτός	marqué par le destin,	fixed by fate
εἱρκτοφυλακέω	être geôlier,	to be a gaoler
εἱρκτοφύλαξ	geôlier,	gaoler
εἱρμός	enchaînement, suite, série (d'événements, de causes, etc.)	train, series, sequence
εἴδησις	science, connaissance,	knowledge
εἴδωλον	reproduction des traits, image,	phantom
εἴκελος	semblable à,	like
εἴκοσι	vingt,	twenty
εἴλυμα	enveloppe, couverture,	wrapper
εἴλω	see <lang="grc">εἴλλω</grc>	shut in
εἴρερος	captivité,	bondage, slavery
εἴρη	lieu d'assemblée, assemblée	@
εἴρομαι	see <lang="grc">ἔρομαι</grc>	ask
εἴρω	nouer, attacher, entrelacer :	@
εἴρω1	nouer, attacher, entrelacer :	@
εἴρων	qui interroge, qui feint l'ignorance,	dissembler, one who says less than he thinks
εἴσδυσις	entrée,	entrance
